id,attributes
4311c4b7-ab02-4a76-b8d2-dd4dbb22d026,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""smart-casual"", ""color"": ""white"", ""fit"": ""regular"", ""description"": ""Classic white button-down suitable for smart casual settings.""}"
91b1edbd-f99d-4b8b-96a4-d11aa3ef820a,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""smart-casual"", ""color"": ""blue"", ""fit"": ""slim"", ""description"": ""Fitted blue dress shirt with a clean professional look.""}"
1f84f101-d77c-495d-9294-03b8fe990757,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""casual"", ""color"": ""grey"", ""fit"": ""regular"", ""description"": ""Soft grey t-shirt, versatile for layering.""}"
1e216712-fde9-4440-8b81-1f9e538dc068,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""business-casual"", ""color"": ""light blue"", ""fit"": ""regular"", ""description"": ""Crisp light blue oxford shirt.""}"
8200348e-cf23-4196-bfb3-624d986a8e39,"{""type"": ""shirt"", ""gender_target"": ""female"", ""style"": ""smart-casual"", ""color"": ""white"", ""fit"": ""regular"", ""description"": ""Womens white blouse with a professional cut.""}"
252d8c87-f4e1-4b12-9331-809fa04e66fc,"{""type"": ""shirt"", ""gender_target"": ""female"", ""style"": ""casual"", ""color"": ""beige"", ""fit"": ""relaxed"", ""description"": ""Relaxed fit beige top, neutral tone.""}"
d5476bea-ed4d-49c7-99d9-a2af2161d651,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""formal"", ""color"": ""white"", ""fit"": ""slim"", ""description"": ""Formal white dress shirt for suits.""}"
f0c40454-a212-446f-b5e7-f358eee1bea4,"{""type"": ""dress"", ""gender_target"": ""female"", ""style"": ""casual"", ""color"": ""green"", ""pattern"": ""floral"", ""description"": ""Green floral dress with a summery vibe.""}"
fd073c5d-8052-49f7-bcf2-2bfc6d8ba395,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""casual"", ""color"": ""navy"", ""fit"": ""regular"", ""description"": ""Navy polo shirt, classic casual wear.""}"
854df09f-e664-4ce6-be29-b8052a783842,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""formal"", ""color"": ""white"", ""fit"": ""regular"", ""description"": ""Clean white button-up dress shirt.""}"
5c2392c7-acca-4996-a4ed-c2edac930bf0,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""formal"", ""color"": ""blue"", ""fit"": ""classic"", ""description"": ""Classic blue dress shirt.""}"
38f08a27-9f93-4226-9cac-fdaf3c40ee50,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""casual"", ""color"": ""multi"", ""pattern"": ""plaid"", ""description"": ""Casual plaid button-down shirt.""}"
803f819f-82af-4a1d-bf89-a3de9d843f92,"{""type"": ""jacket"", ""gender_target"": ""unisex"", ""style"": ""techwear"", ""color"": ""black"", ""fit"": ""oversized"", ""description"": ""Black techwear windbreaker with utility pockets.""}"
9edfff95-3e5d-41d2-baf7-7edc12023bf6,"{""type"": ""shirt"", ""gender_target"": ""unisex"", ""style"": ""techwear"", ""color"": ""grey"", ""fit"": ""regular"", ""description"": ""Grey tactical shirt with functional design.""}"
ea39736b-26eb-4c25-b64f-d56d91295cdf,"{""type"": ""shirt"", ""gender_target"": ""male"", ""style"": ""techwear"", ""color"": ""black"", ""fit"": ""slim"", ""description"": ""Black compression long sleeve.""}"
